window_index,window_id,flow_count,byte_rate,dst_port_diversity,recommended_action,active_posture,verification_status,reconsideration_count,composite_trust
19,demo_w019_120310_10s,110,10200.0,39,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
20,demo_w020_120320_10s,25,2055.7975442608167,3,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
21,demo_w021_120330_10s,24,2146.5447373174766,3,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
22,demo_w022_120340_10s,25,2314.070384557205,3,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
23,demo_w023_120350_10s,24,2205.6937753654447,3,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
24,demo_w024_120400_10s,25,2018.5801650879991,3,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
25,demo_w025_120410_10s,25,2068.2096494749167,3,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
26,demo_w026_120420_10s,23,2379.554214901333,3,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
27,demo_w027_120430_10s,27,2323.3589392465847,3,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
28,demo_w028_120440_10s,24,2039.0688456025537,3,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
29,demo_w029_120450_10s,26,2176.0609974958406,3,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
30,demo_w030_120500_10s,150,80000.0,4,DO_NOTHING,TEMP_RATE_LIMIT,VERIFIED_SUCCESS,0,0.85
31,demo_w031_120510_10s,200,120000.0,4,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
32,demo_w032_120520_10s,250,160000.0,4,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
33,demo_w033_120530_10s,300,200000.0,4,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
34,demo_w034_120540_10s,350,240000.0,4,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
35,demo_w035_120550_10s,400,280000.0,4,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
36,demo_w036_120600_10s,450,320000.0,4,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
37,demo_w037_120610_10s,500,360000.0,4,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
38,demo_w038_120620_10s,550,400000.0,4,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
39,demo_w039_120630_10s,600,440000.0,4,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
40,demo_w040_120640_10s,11,1199.035382022254,1,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
41,demo_w041_120650_10s,11,1281.8640804157565,1,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
42,demo_w042_120700_10s,12,1232.5044568707963,1,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
43,demo_w043_120710_10s,12,1204.013604235562,1,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
44,demo_w044_120720_10s,12,1136.9708911051055,1,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
45,demo_w045_120730_10s,13,1255.026564672223,1,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
46,demo_w046_120740_10s,13,1278.96547008553,1,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
47,demo_w047_120750_10s,12,1284.3748470046235,1,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
48,demo_w048_120800_10s,11,1139.196572483829,1,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
49,demo_w049_120810_10s,11,1165.0660661526529,1,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
50,demo_w050_120820_10s,15,1931.4047095321687,2,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
51,demo_w051_120830_10s,17,1957.0259980080768,2,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
52,demo_w052_120840_10s,15,2012.8088249474745,2,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
53,demo_w053_120850_10s,14,2090.659094226212,2,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
54,demo_w054_120900_10s,14,2146.066080980155,2,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
55,demo_w055_120910_10s,16,1909.6147044602517,2,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
56,demo_w056_120920_10s,14,2094.63842853645,2,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
57,demo_w057_120930_10s,16,2068.7021504122963,2,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
58,demo_w058_120940_10s,16,1872.213395520227,2,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
59,demo_w059_120950_10s,15,1884.760717857539,2,DO_NOTHING,TEMP_RATE_LIMIT,INSUFFICIENT_EVIDENCE,0,0.85
